id,surah,surah name,ayah in surah,start of ruku
0,1,Al-Fatihah,1,true
1,1,Al-Fatihah,2,false
2,1,Al-Fatihah,3,false
3,1,Al-Fatihah,4,false
4,1,Al-Fatihah,5,false
5,1,Al-Fatihah,6,false
6,1,Al-Fatihah,7,false
7,2,Al-Baqarah,1,true
8,2,Al-Baqarah,2,false
9,2,Al-Baqarah,3,false
10,2,Al-Baqarah,4,false
11,2,Al-Baqarah,5,false
12,2,Al-Baqarah,6,false
13,2,Al-Baqarah,7,false
14,2,Al-Baqarah,8,true
15,2,Al-Baqarah,9,false
16,2,Al-Baqarah,10,false
17,2,Al-Baqarah,11,false
18,2,Al-Baqarah,12,false
19,2,Al-Baqarah,13,false
20,2,Al-Baqarah,14,false
21,2,Al-Baqarah,15,false
22,2,Al-Baqarah,16,false
23,2,Al-Baqarah,17,false
24,2,Al-Baqarah,18,false
25,2,Al-Baqarah,19,false
26,2,Al-Baqarah,20,false
27,2,Al-Baqarah,21,true
28,2,Al-Baqarah,22,false
29,2,Al-Baqarah,23,false
30,2,Al-Baqarah,24,false
31,2,Al-Baqarah,25,false
32,2,Al-Baqarah,26,false
33,2,Al-Baqarah,27,false
34,2,Al-Baqarah,28,false
35,2,Al-Baqarah,29,false
36,2,Al-Baqarah,30,true
37,2,Al-Baqarah,31,false
38,2,Al-Baqarah,32,false
39,2,Al-Baqarah,33,false
40,2,Al-Baqarah,34,false
41,2,Al-Baqarah,35,false
42,2,Al-Baqarah,36,false
43,2,Al-Baqarah,37,false
44,2,Al-Baqarah,38,false
45,2,Al-Baqarah,39,false
46,2,Al-Baqarah,40,true
47,2,Al-Baqarah,41,false
48,2,Al-Baqarah,42,false
49,2,Al-Baqarah,43,false
50,2,Al-Baqarah,44,false
51,2,Al-Baqarah,45,false
52,2,Al-Baqarah,46,false
53,2,Al-Baqarah,47,true
54,2,Al-Baqarah,48,false
55,2,Al-Baqarah,49,false
56,2,Al-Baqarah,50,false
57,2,Al-Baqarah,51,false
58,2,Al-Baqarah,52,false
59,2,Al-Baqarah,53,false
60,2,Al-Baqarah,54,false
61,2,Al-Baqarah,55,false
62,2,Al-Baqarah,56,false
63,2,Al-Baqarah,57,false
64,2,Al-Baqarah,58,false
65,2,Al-Baqarah,59,false
66,2,Al-Baqarah,60,true
67,2,Al-Baqarah,61,false
68,2,Al-Baqarah,62,true
69,2,Al-Baqarah,63,false
70,2,Al-Baqarah,64,false
71,2,Al-Baqarah,65,false
72,2,Al-Baqarah,66,false
73,2,Al-Baqarah,67,false
74,2,Al-Baqarah,68,false
75,2,Al-Baqarah,69,false
76,2,Al-Baqarah,70,false
77,2,Al-Baqarah,71,false
78,2,Al-Baqarah,72,true
79,2,Al-Baqarah,73,false
80,2,Al-Baqarah,74,false
81,2,Al-Baqarah,75,false
82,2,Al-Baqarah,76,false
83,2,Al-Baqarah,77,false
84,2,Al-Baqarah,78,false
85,2,Al-Baqarah,79,false
86,2,Al-Baqarah,80,false
87,2,Al-Baqarah,81,false
88,2,Al-Baqarah,82,false
89,2,Al-Baqarah,83,true
90,2,Al-Baqarah,84,false
91,2,Al-Baqarah,85,false
92,2,Al-Baqarah,86,false
93,2,Al-Baqarah,87,true
94,2,Al-Baqarah,88,false
95,2,Al-Baqarah,89,false
96,2,Al-Baqarah,90,false
97,2,Al-Baqarah,91,false
98,2,Al-Baqarah,92,false
99,2,Al-Baqarah,93,false
100,2,Al-Baqarah,94,false
101,2,Al-Baqarah,95,false
102,2,Al-Baqarah,96,false
103,2,Al-Baqarah,97,true
104,2,Al-Baqarah,98,false
105,2,Al-Baqarah,99,false
106,2,Al-Baqarah,100,false
107,2,Al-Baqarah,101,false
108,2,Al-Baqarah,102,false
109,2,Al-Baqarah,103,false
110,2,Al-Baqarah,104,true
111,2,Al-Baqarah,105,false
112,2,Al-Baqarah,106,false
113,2,Al-Baqarah,107,false
114,2,Al-Baqarah,108,false
115,2,Al-Baqarah,109,false
116,2,Al-Baqarah,110,false
117,2,Al-Baqarah,111,false
118,2,Al-Baqarah,112,false
119,2,Al-Baqarah,113,true
120,2,Al-Baqarah,114,false
121,2,Al-Baqarah,115,false
122,2,Al-Baqarah,116,false
123,2,Al-Baqarah,117,false
124,2,Al-Baqarah,118,false
125,2,Al-Baqarah,119,false
126,2,Al-Baqarah,120,false
127,2,Al-Baqarah,121,false
128,2,Al-Baqarah,122,true
129,2,Al-Baqarah,123,false
130,2,Al-Baqarah,124,false
131,2,Al-Baqarah,125,false
132,2,Al-Baqarah,126,false
133,2,Al-Baqarah,127,false
134,2,Al-Baqarah,128,false
135,2,Al-Baqarah,129,false
136,2,Al-Baqarah,130,true
137,2,Al-Baqarah,131,false
138,2,Al-Baqarah,132,false
139,2,Al-Baqarah,133,false
140,2,Al-Baqarah,134,false
141,2,Al-Baqarah,135,false
142,2,Al-Baqarah,136,false
143,2,Al-Baqarah,137,false
144,2,Al-Baqarah,138,false
145,2,Al-Baqarah,139,false
146,2,Al-Baqarah,140,false
147,2,Al-Baqarah,141,false
148,2,Al-Baqarah,142,true
149,2,Al-Baqarah,143,false
150,2,Al-Baqarah,144,false
151,2,Al-Baqarah,145,false
152,2,Al-Baqarah,146,false
153,2,Al-Baqarah,147,false
154,2,Al-Baqarah,148,true
155,2,Al-Baqarah,149,false
156,2,Al-Baqarah,150,false
157,2,Al-Baqarah,151,false
158,2,Al-Baqarah,152,false
159,2,Al-Baqarah,153,true
160,2,Al-Baqarah,154,false
161,2,Al-Baqarah,155,false
162,2,Al-Baqarah,156,false
163,2,Al-Baqarah,157,false
164,2,Al-Baqarah,158,false
165,2,Al-Baqarah,159,false
166,2,Al-Baqarah,160,false
167,2,Al-Baqarah,161,false
168,2,Al-Baqarah,162,false
169,2,Al-Baqarah,163,false
170,2,Al-Baqarah,164,true
171,2,Al-Baqarah,165,false
172,2,Al-Baqarah,166,false
173,2,Al-Baqarah,167,false
174,2,Al-Baqarah,168,true
175,2,Al-Baqarah,169,false
176,2,Al-Baqarah,170,false
177,2,Al-Baqarah,171,false
178,2,Al-Baqarah,172,false
179,2,Al-Baqarah,173,false
180,2,Al-Baqarah,174,false
181,2,Al-Baqarah,175,false
182,2,Al-Baqarah,176,false
183,2,Al-Baqarah,177,true
184,2,Al-Baqarah,178,false
185,2,Al-Baqarah,179,false
186,2,Al-Baqarah,180,false
187,2,Al-Baqarah,181,false
188,2,Al-Baqarah,182,false
189,2,Al-Baqarah,183,true
190,2,Al-Baqarah,184,false
191,2,Al-Baqarah,185,false
192,2,Al-Baqarah,186,false
193,2,Al-Baqarah,187,false
194,2,Al-Baqarah,188,false
195,2,Al-Baqarah,189,true
196,2,Al-Baqarah,190,false
197,2,Al-Baqarah,191,false
198,2,Al-Baqarah,192,false
199,2,Al-Baqarah,193,false
200,2,Al-Baqarah,194,false
201,2,Al-Baqarah,195,false
202,2,Al-Baqarah,196,false
203,2,Al-Baqarah,197,true
204,2,Al-Baqarah,198,false
205,2,Al-Baqarah,199,false
206,2,Al-Baqarah,200,false
207,2,Al-Baqarah,201,false
208,2,Al-Baqarah,202,false
209,2,Al-Baqarah,203,false
210,2,Al-Baqarah,204,false
211,2,Al-Baqarah,205,false
212,2,Al-Baqarah,206,false
213,2,Al-Baqarah,207,false
214,2,Al-Baqarah,208,false
215,2,Al-Baqarah,209,false
216,2,Al-Baqarah,210,false
217,2,Al-Baqarah,211,true
218,2,Al-Baqarah,212,false
219,2,Al-Baqarah,213,false
220,2,Al-Baqarah,214,false
221,2,Al-Baqarah,215,false
222,2,Al-Baqarah,216,false
223,2,Al-Baqarah,217,true
224,2,Al-Baqarah,218,false
225,2,Al-Baqarah,219,false
226,2,Al-Baqarah,220,false
227,2,Al-Baqarah,221,false
228,2,Al-Baqarah,222,true
229,2,Al-Baqarah,223,false
230,2,Al-Baqarah,224,false
231,2,Al-Baqarah,225,false
232,2,Al-Baqarah,226,false
233,2,Al-Baqarah,227,false
234,2,Al-Baqarah,228,false
235,2,Al-Baqarah,229,true
236,2,Al-Baqarah,230,false
237,2,Al-Baqarah,231,false
238,2,Al-Baqarah,232,true
239,2,Al-Baqarah,233,false
240,2,Al-Baqarah,234,false
241,2,Al-Baqarah,235,false
242,2,Al-Baqarah,236,true
243,2,Al-Baqarah,237,false
244,2,Al-Baqarah,238,false
245,2,Al-Baqarah,239,false
246,2,Al-Baqarah,240,false
247,2,Al-Baqarah,241,false
248,2,Al-Baqarah,242,false
249,2,Al-Baqarah,243,false
250,2,Al-Baqarah,244,false
251,2,Al-Baqarah,245,true
252,2,Al-Baqarah,246,false
253,2,Al-Baqarah,247,false
254,2,Al-Baqarah,248,false
255,2,Al-Baqarah,249,true
256,2,Al-Baqarah,250,false
257,2,Al-Baqarah,251,false
258,2,Al-Baqarah,252,false
259,2,Al-Baqarah,253,false
260,2,Al-Baqarah,254,true
261,2,Al-Baqarah,255,false
262,2,Al-Baqarah,256,false
263,2,Al-Baqarah,257,false
264,2,Al-Baqarah,258,true
265,2,Al-Baqarah,259,false
266,2,Al-Baqarah,260,false
267,2,Al-Baqarah,261,true
268,2,Al-Baqarah,262,false
269,2,Al-Baqarah,263,false
270,2,Al-Baqarah,264,false
271,2,Al-Baqarah,265,false
272,2,Al-Baqarah,266,false
273,2,Al-Baqarah,267,true
274,2,Al-Baqarah,268,false
275,2,Al-Baqarah,269,false
276,2,Al-Baqarah,270,false
277,2,Al-Baqarah,271,false
278,2,Al-Baqarah,272,false
279,2,Al-Baqarah,273,false
280,2,Al-Baqarah,274,true
281,2,Al-Baqarah,275,false
282,2,Al-Baqarah,276,false
283,2,Al-Baqarah,277,false
284,2,Al-Baqarah,278,false
285,2,Al-Baqarah,279,false
